lz,gender,u5,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
59101,female,0.063533,0.055106,0.059632,0.058404,0.050571,0.037010,0.032201,0.026072,0.022982,0.015994,0.014797,0.010591,0.007570,0.007427,0.005137,0.004187,0.003075
59101,male,-0.064055,-0.056624,-0.058663,-0.055959,-0.045264,-0.031838,-0.024944,-0.018690,-0.016218,-0.011676,-0.007845,-0.007845,-0.004859,-0.004256,-0.002059,-0.001723,-0.001510
59104,female,0.064189,0.061732,0.066619,0.053047,0.040362,0.027017,0.024308,0.023903,0.023473,0.020991,0.019168,0.015269,0.009799,0.009900,0.006457,0.004811,0.004684
59104,male,-0.067126,-0.064872,-0.067809,-0.047325,-0.032259,-0.020864,-0.017016,-0.014762,-0.013471,-0.011876,-0.009622,-0.009622,-0.006432,-0.005469,-0.002608,-0.001924,-0.001975
59201,female,0.066106,0.059591,0.066136,0.052643,0.042183,0.033950,0.030352,0.025898,0.024719,0.020496,0.016287,0.012669,0.011777,0.011043,0.008504,0.007219,0.005515
59201,male,-0.066928,-0.062721,-0.067270,-0.048640,-0.028776,-0.020337,-0.016760,-0.014079,-0.012298,-0.010036,-0.008180,-0.008180,-0.005811,-0.005619,-0.002762,-0.002070,-0.001760
59205,female,0.060622,0.050169,0.055714,0.049049,0.042671,0.034060,0.030636,0.026261,0.025316,0.021605,0.019554,0.017348,0.013204,0.010852,0.006994,0.006147,0.005685
59205,male,-0.060846,-0.052129,-0.055504,-0.049525,-0.038512,-0.029579,-0.024917,-0.021101,-0.019421,-0.016193,-0.012021,-0.012021,-0.008261,-0.005832,-0.002709,-0.002121,-0.002037
59303,female,0.066308,0.056521,0.059586,0.046416,0.036220,0.026886,0.024184,0.021073,0.023140,0.021232,0.019415,0.018939,0.015669,0.012853,0.008811,0.007766,0.006790
59303,male,-0.068147,-0.059859,-0.063469,-0.045348,-0.029816,-0.022072,-0.018348,-0.016100,-0.014692,-0.013988,-0.012853,-0.012853,-0.008947,-0.007335,-0.004224,-0.003020,-0.002702
