     mn_name     | mn_code |       mp_name       | mp_code |       sp_name       |  sp_code  | ea_code  | lz_code
-----------------+---------+---------------------+---------+---------------------+-----------+----------+---------
Elias Motsoaledi |     984 | Kgobokwane          |  984038 | Kgobokwane SP       | 984038001 | 98410237 |   59205
Elias Motsoaledi |     984 | Mpheleng            |  984051 | Mpheleng SP         | 984051001 | 98410185 |   59205
Elias Motsoaledi |     984 | Ntwane              |  984072 | Ntwane SP           | 984072001 | 98410029 |   59205
Elias Motsoaledi |     984 | Moteti              |  984056 | Moteti SP           | 984056002 | 98410132 |   59205
Elias Motsoaledi |     984 | Witfontein          |  984057 | Witfontein SP       | 984057001 | 98410192 |   59205
Elias Motsoaledi |     984 | Elandsdoring        |  984065 | Elandsdoring C      | 984065004 | 98410138 |   59205
Elias Motsoaledi |     984 | Ntwane              |  984072 | Ntwane SP           | 984072001 | 98410038 |   59205
Elias Motsoaledi |     984 | Thabakhubedu        |  984073 | Thabakhubedu SP     | 984073001 | 98410017 |   59205
Elias Motsoaledi |     984 | Ten Morgan          |  984060 | Ten Morgan SP       | 984060001 | 98410199 |   59205
Elias Motsoaledi |     984 | Phukukane           |  984062 | Phukukane SP        | 984062001 | 98410114 |   59205
Elias Motsoaledi |     984 | Naganeng            |  984044 | Naganeng SP         | 984044001 | 98410234 |   59205
Elias Motsoaledi |     984 | Phukukane           |  984062 | Phukukane SP        | 984062001 | 98410118 |   59205
Elias Motsoaledi |     984 | Kgobokwane          |  984038 | Kgobokwane SP       | 984038001 | 98410242 |   59205
Elias Motsoaledi |     984 | Uitspanning A       |  984068 | Uitspanning A SP    | 984068001 | 98410152 |   59205
Elias Motsoaledi |     984 | Ntwane              |  984072 | Ntwane SP           | 984072001 | 98410033 |   59205
Elias Motsoaledi |     984 | Kgapamadi           |  984039 | Kgapamadi SP        | 984039001 | 98410246 |   59205
Elias Motsoaledi |     984 | Naganeng            |  984044 | Naganeng SP         | 984044001 | 98410310 |   59205
Elias Motsoaledi |     984 | Moteti              |  984056 | Moteti SP           | 984056002 | 98410126 |   59205
Elias Motsoaledi |     984 | Phukukane           |  984062 | Phukukane SP        | 984062001 | 98410119 |   59205
Elias Motsoaledi |     984 | Ntwane              |  984072 | Ntwane SP           | 984072001 | 98410032 |   59205
Elias Motsoaledi |     984 | Ditshego            |  984059 | Ditshego SP         | 984059001 | 98410125 |   59205
Elias Motsoaledi |     984 | Magakadimeng        |  984052 | Magakadimeng SP     | 984052001 | 98410173 |   59205
Elias Motsoaledi |     984 | Phukukane           |  984062 | Phukukane SP        | 984062001 | 98410164 |   59205
Elias Motsoaledi |     984 | Mpheleng            |  984051 | Mpheleng SP         | 984051001 | 98410180 |   59205
Elias Motsoaledi |     984 | Kgobokwane          |  984038 | Kgobokwane SP       | 984038001 | 98410240 |   59205
Elias Motsoaledi |     984 | Moteti              |  984056 | Moteti SP           | 984056002 | 98410195 |   59205
Elias Motsoaledi |     984 | Dennilton           |  984063 | Dennilton SP        | 984063001 | 98410163 |   59205
Elias Motsoaledi |     984 | Mpheleng            |  984051 | Mpheleng SP         | 984051001 | 98410178 |   59205
Elias Motsoaledi |     984 | Kikvorschfontein    |  984061 | Kikvorschfontein SP | 984061001 | 98410112 |   59205
Elias Motsoaledi |     984 | Mpheleng            |  984051 | Mpheleng SP         | 984051001 | 98410176 |   59205
Elias Motsoaledi |     984 | Kgobokwane          |  984038 | Kgobokwane SP       | 984038001 | 98410241 |   59205
Elias Motsoaledi |     984 | Waalkraal           |  984040 | Waalkraal  SP       | 984040001 | 98410253 |   59205
Elias Motsoaledi |     984 | Moteti              |  984056 | Moteti SP           | 984056002 | 98410205 |   59205
Elias Motsoaledi |     984 | Kgobokwane          |  984038 | Kgobokwane SP       | 984038001 | 98410308 |   59205
