pr_name |      dc_name       |     mn_name      |       mp_name       |       sp_name       |  sp_code  | sa_code | pop_cen | pop_curr | mn_pop_cur | dc_pop_curr | pr_pop_curr
--------+--------------------+------------------+---------------------+---------------------+-----------+---------+---------+----------+------------+-------------+-------------
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Dennilton           | Dennilton SP        | 984063001 | 9840067 |     423 |      462 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Dennilton           | Dennilton SP        | 984063001 | 9840269 |     627 |      685 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Dennilton           | Dennilton SP        | 984063001 | 9840321 |     675 |      738 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Dennilton           | Dennilton SP        | 984063001 | 9840329 |     684 |      748 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Dithabaneng         | Dithabaneng SP      | 984070001 | 9840007 |      87 |       95 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ditshego            | Ditshego SP         | 984059001 | 9840214 |     582 |      636 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Ditshego            | Ditshego SP         | 984059001 | 9840250 |     618 |      676 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Elandsdoorn         | Elandsdoorn SP      | 984069001 | 9840002 |      15 |       16 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Elandsdoring        | Elandsdoring F      | 984065002 | 9840174 |     558 |      610 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Elias Motsoaledi NU | Elias Motsoaledi NU | 984002002 | 9840001 |      12 |       13 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Five Morgan         | Five Morgan SP      | 984054001 | 9840333 |     684 |      748 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | GaMatlala           | GaMatlala SP        | 984042001 | 9840402 |     822 |      899 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Kgapamadi           | Kgapamadi SP        | 984039001 | 9840020 |     267 |      292 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Kgobokwane          | Kgobokwane SP       | 984038001 | 9840035 |     360 |      394 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Kgobokwane          | Kgobokwane SP       | 984038001 | 9840071 |     432 |      472 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Kgobokwane          | Kgobokwane SP       | 984038001 | 9840074 |     441 |      482 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Kgobokwane          | Kgobokwane SP       | 984038001 | 9840127 |     504 |      551 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Kgobokwane          | Kgobokwane SP       | 984038001 | 9840141 |     522 |      571 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Kgobokwane          | Kgobokwane SP       | 984038001 | 9840168 |     549 |      600 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Kgobokwane          | Kgobokwane SP       | 984038001 | 9840177 |     558 |      610 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Kgobokwane          | Kgobokwane SP       | 984038001 | 9840182 |     561 |      613 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Kgobokwane          | Kgobokwane SP       | 984038001 | 9840201 |     576 |      630 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Kgobokwane          | Kgobokwane SP       | 984038001 | 9840213 |     585 |      639 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Kgobokwane          | Kgobokwane SP       | 984038001 | 9840243 |     609 |      666 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Kgobokwane          | Kgobokwane SP       | 984038001 | 9840266 |     624 |      682 |     272621 |     1176939 |     5826386
