 ea_code  |  sp_code  |       sp_name        | mp_code |        mp_name        | mn_code |     mn_name     | dc_code | dc_mdb_code |      dc_name       |  pr_name   |  survey   
----------+-----------+----------------------+---------+-----------------------+---------+-----------------+---------+-------------+--------------------+------------+-----------
 97310028 | 973014001 | Tshitale SP          |  973014 | Tshitale              |     973 | Molemole        |     935 | DC35        | Capricorn          | Limpopo    | continuum
 98310213 | 983035001 | Malebitsa SP         |  983035 | Malebitsa             |     983 | Ephraim Mogale  |     947 | DC47        | Greater Sekhukhune | Limpopo    | both
 98310214 | 983035001 | Malebitsa SP         |  983035 | Malebitsa             |     983 | Ephraim Mogale  |     947 | DC47        | Greater Sekhukhune | Limpopo    | both
 98310215 | 983035001 | Malebitsa SP         |  983035 | Malebitsa             |     983 | Ephraim Mogale  |     947 | DC47        | Greater Sekhukhune | Limpopo    | both
 98310216 | 983035001 | Malebitsa SP         |  983035 | Malebitsa             |     983 | Ephraim Mogale  |     947 | DC47        | Greater Sekhukhune | Limpopo    | both
 98310217 | 983035001 | Malebitsa SP         |  983035 | Malebitsa             |     983 | Ephraim Mogale  |     947 | DC47        | Greater Sekhukhune | Limpopo    | both
 98310218 | 983035001 | Malebitsa SP         |  983035 | Malebitsa             |     983 | Ephraim Mogale  |     947 | DC47        | Greater Sekhukhune | Limpopo    | both
 98310219 | 983035001 | Malebitsa SP         |  983035 | Malebitsa             |     983 | Ephraim Mogale  |     947 | DC47        | Greater Sekhukhune | Limpopo    | both
 96310161 | 963014001 | Mohlabeng            |  963014 | Ga-Mashishimale       |     963 | Ba-Phalaborwa   |     933 | DC33        | Mopani             | Limpopo    | continuum
 96310165 | 963014001 | Mohlabeng            |  963014 | Ga-Mashishimale       |     963 | Ba-Phalaborwa   |     933 | DC33        | Mopani             | Limpopo    | continuum
 96310166 | 963014001 | Mohlabeng            |  963014 | Ga-Mashishimale       |     963 | Ba-Phalaborwa   |     933 | DC33        | Mopani             | Limpopo    | continuum
 96310167 | 963014001 | Mohlabeng            |  963014 | Ga-Mashishimale       |     963 | Ba-Phalaborwa   |     933 | DC33        | Mopani             | Limpopo    | continuum
 96310296 | 963004001 | Mahale  SP           |  963004 | Mahale                |     963 | Ba-Phalaborwa   |     933 | DC33        | Mopani             | Limpopo    | continuum
 96310302 | 963004001 | Mahale  SP           |  963004 | Mahale                |     963 | Ba-Phalaborwa   |     933 | DC33        | Mopani             | Limpopo    | continuum
