                                    lz                                    | mp_code |                mp_name                |     mn_name      |      dc_name       |  pr_name   
--------------------------------------------------------------------------+---------+---------------------------------------+------------------+--------------------+------------
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970002 | Aganang NU                            | Aganang          | Capricorn          | Limpopo
 59251 - ZALCV: North central Limpopo cattle and vegetables               |  970002 | Aganang NU                            | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970059 | Bakone                                | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970047 | Boratapelo                            | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970041 | Chloe                                 | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970064 | Cornelia                              | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970048 | Damplaats                             | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970077 | Diana                                 | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970062 | Dibeng                                | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970066 | Ga-Dietane                            | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970001 | Ga-Dikgale                            | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970003 | Ga-Keetse                             | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970053 | Ga-Kgoroshi                           | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970010 | Ga-Kolopo                             | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970013 | Ga-Lamola                             | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970026 | Ga-Lepadima                           | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970021 | Ga-Mabitsela                          | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970078 | Ga-Madiba                             | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970070 | Ga-Madietane                          | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970050 | Ga-Mahoai                             | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970081 | Ga-Mangou                             | Aganang          | Capricorn          | Limpopo
 59880 - ZAULT: Formal residential in traditional tenure                  |  970081 | Ga-Mangou                             | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970005 | Ga-Mankodi                            | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970082 | Ga-Manyapje                           | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970016 | Ga-Maribana                           | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970012 | Ga-Masehlong                          | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970086 | Ga-Mashashane                         | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970090 | Ga-Matlapa                            | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970011 | Ga-Matlhodi                           | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970029 | Ga-Mmabatho                           | Aganang          | Capricorn          | Limpopo
 59202 - ZANOC: Northern open access cattle and dryland crops             |  970037 | Ga-Mmathongwana                       | Aganang          | Capricorn          | Limpopo
