lz,survey,sampled_date,province_name,province_code,district_name,district_code,municipality_name,municipality_code,main_place_name,main_place_code,village_name,village_code,pop,num_sas,approx_coord,village_and_coord
59101: Lowveld open access cattle and other income (ZALOC),continuum,2016-10-04,Limpopo,9,Mopani,933,Ba-Phalaborwa,963,Ga-Mashishimale,963014,Mohlabeng,963014001,2325,4,"-23.9324, 30.9964","continuum - Mohlabeng: -23.9324, 30.9964"
59101: Lowveld open access cattle and other income (ZALOC),hea,2016-10-04,Limpopo,9,Mopani,933,Ba-Phalaborwa,963,Majeje,963008,Humulani,963008002,25728,39,"-23.8723, 31.0641","hea - Humulani: -23.8723, 31.0641"
59201: Lowveld open access mixed farming (ZALCM),continuum,2016-10-04,Limpopo,9,Capricorn,935,Molemole,973,Tshitale,973014,Tshitale SP,973014001,657,1,"-23.3586, 29.9951","continuum - Tshitale SP: -23.3586, 29.9951"
59201: Lowveld open access mixed farming (ZALCM),continuum,2016-10-04,Limpopo,9,Mopani,933,Ba-Phalaborwa,963,Mahale,963004,Mahale  SP,963004001,1821,3,"-23.6968, 30.9643","continuum - Mahale  SP: -23.6968, 30.9643"
59201: Lowveld open access mixed farming (ZALCM),continuum,2016-10-04,Limpopo,9,Mopani,933,Greater Giyani,960,Basani,960042,Basani SP,960042001,2208,3,"-23.3520, 30.5327","continuum - Basani SP: -23.3520, 30.5327"
59201: Lowveld open access mixed farming (ZALCM),hea,2016-10-04,Limpopo,9,Mopani,933,Greater Giyani,960,Botshabelo,960056,Botshabelo SP,960056001,1485,3,"-23.4309, 30.5166","hea - Botshabelo SP: -23.4309, 30.5166"
59201: Lowveld open access mixed farming (ZALCM),continuum,2016-10-04,Limpopo,9,Mopani,933,Greater Giyani,960,KaMakoxa,960017,KaMakoxa SP,960017001,4446,6,"-23.2567, 30.7437","continuum - KaMakoxa SP: -23.2567, 30.7437"
59201: Lowveld open access mixed farming (ZALCM),hea,2016-10-04,Limpopo,9,Mopani,933,Greater Giyani,960,KaMatsotsosela,960078,KaMatsotsosela SP,960078001,1035,2,"-23.6075, 30.8303","hea - KaMatsotsosela SP: -23.6075, 30.8303"
59201: Lowveld open access mixed farming (ZALCM),hea,2016-10-04,Limpopo,9,Mopani,933,Greater Giyani,960,KaMininginisi,960004,KaMininginisi SP1,960004001,3993,7,"-23.1498, 30.8032","hea - KaMininginisi SP1: -23.1498, 30.8032"
59201: Lowveld open access mixed farming (ZALCM),continuum,2016-10-04,Limpopo,9,Mopani,933,Greater Letaba,961,Phongololo,961024,Phongololo SP,961024001,2610,5,"-23.4104, 30.2592","continuum - Phongololo SP: -23.4104, 30.2592"
59201: Lowveld open access mixed farming (ZALCM),continuum,2016-10-04,Limpopo,9,Mopani,933,Greater Letaba,961,Shamfana,961043,Shamfana SP,961043001,972,2,"-23.4578, 30.6637","continuum - Shamfana SP: -23.4578, 30.6637"
59201: Lowveld open access mixed farming (ZALCM),hea,2016-10-04,Limpopo,9,Mopani,933,Greater Tzaneen,962,Ka-Xihoko,962034,Ka-Xihoko SP,962034001,4644,10,"-23.6638, 30.5007","hea - Ka-Xihoko SP: -23.6638, 30.5007"
59201: Lowveld open access mixed farming (ZALCM),continuum,2016-10-04,Limpopo,9,Mopani,933,Greater Tzaneen,962,Mavele,962035,Mavele SP,962035001,4824,9,"-23.6757, 30.4227","continuum - Mavele SP: -23.6757, 30.4227"
59201: Lowveld open access mixed farming (ZALCM),continuum,2016-10-04,Limpopo,9,Mopani,933,Greater Tzaneen,962,Motupa,962026,Motupa SP,962026001,6951,12,"-23.6810, 30.2874","continuum - Motupa SP: -23.6810, 30.2874"
59201: Lowveld open access mixed farming (ZALCM),continuum,2016-10-04,Limpopo,9,Vhembe,934,Makhado,968,Bungeni,968101,Bungeni SP,968101001,6660,11,"-23.1941, 30.1840","continuum - Bungeni SP: -23.1941, 30.1840"
59201: Lowveld open access mixed farming (ZALCM),continuum,2016-10-04,Limpopo,9,Vhembe,934,Makhado,968,Chavani,968102,Chavani SP,968102001,7524,12,"-23.1977, 30.1502","continuum - Chavani SP: -23.1977, 30.1502"
59201: Lowveld open access mixed farming (ZALCM),hea,2016-10-04,Limpopo,9,Vhembe,934,Makhado,968,Masakona,968122,Sereni,968122004,1665,4,"-23.2714, 30.1784","hea - Sereni: -23.2714, 30.1784"
59201: Lowveld open access mixed farming (ZALCM),continuum,2016-10-04,Limpopo,9,Vhembe,934,Makhado,968,Mpheni,968093,Tshitale,968093001,7368,12,"-23.1405, 30.0614","continuum - Tshitale: -23.1405, 30.0614"
59201: Lowveld open access mixed farming (ZALCM),continuum,2016-10-04,Limpopo,9,Vhembe,934,Mutale,965,Folovhodwe,965044,Folovhodwe SP,965044001,2793,5,"-22.5927, 30.4298","continuum - Folovhodwe SP: -22.5927, 30.4298"
59201: Lowveld open access mixed farming (ZALCM),hea,2016-10-04,Limpopo,9,Vhembe,934,Mutale,965,Tshipise,965035,Tshipise SP,965035001,1047,2,"-22.5315, 30.6698","hea - Tshipise SP: -22.5315, 30.6698"
59201: Lowveld open access mixed farming (ZALCM),continuum,2016-10-04,Limpopo,9,Vhembe,934,Thulamela,966,Hasane,966214,Hasane SP,966214001,2733,5,"-23.0936, 30.4783","continuum - Hasane SP: -23.0936, 30.4783"
59201: Lowveld open access mixed farming (ZALCM),continuum,2016-10-04,Limpopo,9,Vhembe,934,Thulamela,966,Makuleke,966083,Makuleke SP,966083001,4506,7,"-22.8695, 30.9188","continuum - Makuleke SP: -22.8695, 30.9188"
59201: Lowveld open access mixed farming (ZALCM),continuum,2016-10-04,Limpopo,9,Vhembe,934,Thulamela,966,Mtititi,966215,Mtititi SP,966215001,2130,3,"-23.0931, 30.8984","continuum - Mtititi SP: -23.0931, 30.8984"
